files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=24.58 s (430.5 files/s 401566.5 lines/s)"
151,Qt Linguist,316,0,3427128
798,JSON,12,0,2801764
2575,XML,774,2787,1539570
1905,C++,102526,90431,530738
636,C,62605,61389,274035
2746,C/C++ Header,63459,131631,235487
137,Bourne Shell,19465,21189,115525
152,HTML,49526,18,63144
562,QML,13998,12311,47388
29,m4,3875,855,34839
27,Qt,0,0,24136
86,Text,1803,0,19483
57,Markdown,1536,34,16224
259,CMake,3223,6045,14331
4,MSBuild script,0,0,8688
69,Python,1964,7692,7605
53,JavaScript,1292,1953,6875
3,XSD,675,27,6137
148,make,1962,3547,3953
21,Objective-C++,619,581,2790
8,SVG,9,1,2584
51,Bourne Again Shell,444,415,2548
28,YAML,201,63,2314
9,Assembly,322,858,1543
6,CSS,200,78,1000
4,Perl,224,268,790
3,Starlark,87,115,713
11,DOS Batch,163,114,642
6,Visual Studio Solution,2,6,594
2,Meson,82,73,329
2,Windows Module Definition,84,0,253
7,Windows Resource File,20,20,230
2,diff,65,233,197
11,Dockerfile,41,61,191
1,Pascal,50,74,179
1,awk,38,0,143
1,Ruby,27,0,68
2,TNSDL,12,31,68
2,INI,11,0,55
2,TypeScript,0,0,22
1,ProGuard,1,19,16
1,Bazel,3,0,14
1,Lisp,0,0,4
1,Properties,5,7,4
10581,SUM,331721,342926,9194341
