files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.72 s (746.6 files/s 384130.5 lines/s)"
167,C++,18693,5353,115157
25,JSON,13,0,46426
178,C/C++ Header,5824,10760,38968
17,C#,691,282,8002
47,XML,191,149,5300
6,Python,255,218,4793
4,Lua,199,157,4638
1,D,68,49,2048
9,Markdown,288,0,794
14,GLSL,180,69,673
10,XAML,14,3,492
1,Windows Module Definition,18,14,447
2,Visual Studio Solution,2,2,396
13,Bourne Shell,85,249,360
4,Text,76,0,346
5,Meson,54,8,294
9,HLSL,48,43,246
2,PowerShell,65,41,235
2,SVG,0,2,210
1,MSBuild script,0,2,188
4,YAML,8,1,164
1,Starlark,30,0,147
1,Perl,31,42,101
5,CMake,38,51,97
2,Windows Resource File,44,31,94
2,INI,5,0,79
1,diff,11,54,42
1,C,1,0,8
1,Bourne Again Shell,3,0,6
535,SUM,26935,17580,230751
