files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.15 s (1067.1 files/s 320646.2 lines/s)"
9,C,272,185,16471
60,C++,2577,1661,16338
48,C/C++ Header,751,1390,2764
7,Markdown,307,0,997
5,AsciiDoc,222,2,853
2,ReasonML,163,690,407
2,JavaServer Faces,70,0,322
2,JavaScript,56,54,305
3,JSON,0,0,210
4,Python,33,40,185
1,Lisp,32,20,141
1,HTML,18,5,102
2,make,26,10,69
6,Bourne Shell,14,16,57
3,Text,0,0,54
2,vim script,13,16,50
1,CSS,8,16,32
1,diff,5,19,10
1,reStructuredText,5,8,7
160,SUM,4572,4132,39374
