files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=3.86 s (934.0 files/s 253140.5 lines/s)"
205,Text,592,0,480734
2494,PHP,40295,100090,214872
157,JSON,2,0,35483
48,C,3868,3410,25741
103,JavaScript,5,52,25243
295,Markdown,5207,2,17106
19,HTML,367,0,7249
155,PO File,1330,2332,5279
54,C/C++ Header,872,309,3412
26,XML,22,0,631
2,SCSS,54,34,445
4,YAML,28,3,403
7,CSS,66,5,299
14,Bourne Shell,106,102,205
2,make,46,11,109
1,Perl,24,17,85
1,m4,12,0,79
1,Bourne Again Shell,9,8,22
10,SVG,0,0,20
1,Pascal,3,17,15
2,INI,2,1,8
1,CSV,0,0,7
1,TOML,0,0,5
1,DOS Batch,0,0,1
3604,SUM,52910,106393,817453
