files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.92 s (613.5 files/s 328345.9 lines/s)"
39,C/C++ Header,6863,7181,102457
61,C++,10312,3697,52678
10,C,5856,1906,25364
13,JSON,0,0,18409
64,Go,1769,323,10435
1,CUDA,2077,260,8763
50,Python,2264,2850,8277
1,Metal,783,119,4918
73,Markdown,1953,3,4815
64,Bourne Shell,730,655,2998
1,Objective-C,378,116,2084
42,CMake,218,157,1368
21,YAML,156,256,1298
10,Swift,228,47,1035
2,HTML,148,0,896
16,TypeScript,130,21,815
29,Text,140,0,615
3,make,151,77,584
7,Kotlin,95,38,531
7,Nix,49,156,380
6,JavaScript,58,55,344
12,Dockerfile,125,46,312
11,XML,6,26,269
1,PowerShell,22,16,137
1,Zig,13,4,121
2,vim script,17,34,112
1,CSV,0,0,103
3,Gradle,8,4,102
1,Perl,31,42,101
2,diff,10,53,57
2,TOML,6,0,55
1,DOS Batch,9,10,38
1,CSS,5,0,29
3,INI,7,0,29
1,Jupyter Notebook,0,74,28
2,Properties,0,20,9
1,SVG,0,0,9
1,D,0,0,1
1,ProGuard,3,18,0
567,SUM,34620,18264,250576
