files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=2.17 s (704.5 files/s 503726.8 lines/s)"
651,C,65916,25915,317914
44,PO File,71286,133581,246414
345,XML,3116,9,80966
26,Bourne Shell,7048,5613,39490
278,C/C++ Header,6884,12032,22370
71,Python,5255,5590,16572
87,m4,1697,545,15717
8,make,614,87,6174
1,INI,60,0,780
5,Bourne Again Shell,64,81,355
3,Markdown,53,0,128
3,diff,18,49,71
1,D,16,0,61
2,sed,0,0,16
1,Snakemake,1,0,14
1,YAML,0,0,8
1,Text,1,0,5
1528,SUM,162029,183502,747055
