files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=24.49 s (581.7 files/s 267472.9 lines/s)"
362,Text,150423,0,2038069
4281,C++,335548,468405,1574376
3768,C/C++ Header,119440,206604,554142
404,C,79635,130465,403034
39,HTML,2908,252,149914
2590,XML,3843,8108,107686
130,Objective-C++,7836,9947,39374
156,Qt,5,0,34531
154,JSON,196,0,18224
1599,Qt Project,3242,397,13598
59,SVG,494,57,11304
24,Java,1075,1286,7712
9,IDL,677,0,4833
20,Python,907,6024,4643
7,Assembly,652,977,3955
9,CSS,373,249,3358
6,ANTLR Grammar,592,84,3057
65,CMake,682,376,2745
88,ProGuard,690,692,2292
51,Bourne Shell,475,1397,2230
15,Perl,413,616,2162
17,Markdown,622,0,2072
2,yacc,160,83,1687
6,Windows Module Definition,20,15,1431
38,diff,283,1155,1405
137,DTD,344,755,1234
8,HLSL,178,29,1068
4,lex,211,107,1046
18,Qt Linguist,0,0,925
53,make,699,1184,900
5,JavaScript,137,252,883
55,GLSL,249,524,858
2,XSLT,92,25,420
14,DOS Batch,72,146,360
3,YAML,19,37,243
9,INI,22,7,168
13,Bourne Again Shell,26,2,148
1,Oracle PL/SQL,2,0,109
1,Objective-C,18,27,67
1,Gradle,13,14,53
1,m4,10,0,44
2,Windows Resource File,5,19,39
1,Pascal,0,0,28
2,TypeScript,0,0,19
1,Dockerfile,4,8,17
6,CSV,0,0,16
1,PowerShell,3,29,11
1,TNSDL,8,20,11
2,Properties,2,10,7
1,TOML,0,0,6
1,QML,1,27,3
2,XQuery,0,0,2
1,Fortran 77,0,0,1
1,Snakemake,0,0,1
14246,SUM,713306,840411,4996521
