files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=1.06 s (700.8 files/s 247976.2 lines/s)"
98,PO File,13858,17470,42695
144,diff,1856,7526,36690
108,Bourne Shell,6084,7109,31176
131,C,4042,3970,20665
97,Python,5768,4596,19856
5,m4,1066,210,9927
12,C++,601,1110,3756
40,C/C++ Header,730,1138,3229
21,HTML,1515,0,2733
3,yacc,298,160,2067
38,make,425,304,1643
2,TeX,247,14,1108
8,Perl,137,89,934
2,lex,160,109,921
6,Pascal,232,656,763
3,Ruby,53,12,367
3,Markdown,97,0,292
8,Expect,77,56,254
3,Java,49,156,212
2,Ant,19,12,159
1,YAML,16,9,114
1,Bourne Again Shell,19,29,56
1,SWIG,13,12,49
1,XSLT,3,0,41
1,CSS,6,0,24
1,SVG,0,0,1
740,SUM,37371,44747,179732
