files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=2.26 s (604.9 files/s 176807.7 lines/s)"
928,C#,16574,25998,181617
110,XML,268,1156,149906
216,CSV,795,0,10507
38,MSBuild script,0,34,4410
22,Text,602,0,2514
2,Visual Studio Solution,2,2,695
2,SVG,2,2,586
11,C# Generated,91,414,342
7,Markdown,132,0,320
1,PowerShell,24,5,283
1,C++,23,25,250
6,GLSL,29,29,239
4,YAML,53,14,230
2,make,30,23,195
2,C# Designer,10,64,186
7,Bourne Shell,19,17,183
1,Windows Module Definition,0,0,19
1,INI,3,0,14
2,C/C++ Header,6,7,8
1,Snakemake,3,4,3
1,Bourne Again Shell,1,0,2
1365,SUM,18667,27794,352509
